producer,state,district,sector
MOIL Ltd,Madhya Pradesh,Balaghat,Public
MOIL Ltd,Maharashtra,Bhandara,Public
MOIL Ltd,Maharashtra,Nagpur,Public
Tata Steel Ltd,Odisha,Keonjhar,Private
The Sandur Manganese & Iron Ores Ltd,Karnataka,Ballari,Private
R.B.S.S. Durga Prasad & F.N. Das,Andhra Pradesh,Vizianagaram,Private
Suriyavansum Mining & Minerals (P) Ltd,Madhya Pradesh,Jabalpur,Private
Debabrata Behera,Odisha,Keonjhar,Private
S.K. Sarawagi & Co. Pvt. Ltd,Andhra Pradesh,Vizianagaram,Private
S. R. Ferro Alloys,Madhya Pradesh,Jhabua,Private
Bharat Parikh & Co. Ltd,Karnataka,Davanagere,Private
J.K Minerals,Madhya Pradesh,Balaghat,Private
