state,year,quantity_tonnes,value_thousand_inr
India,2018-19,2832315,21640165
India,2019-20,2910186,18849100
India,2020-21,2688038,17942596
Andhra Pradesh,2018-19,293679,1039486
Andhra Pradesh,2019-20,330530,1059109
Andhra Pradesh,2020-21,250255,987075
Jharkhand,2018-19,4785,39839
Jharkhand,2019-20,4785,36126
Jharkhand,2020-21,0,0
Karnataka,2018-19,332162,2276289
Karnataka,2019-20,336745,2194098
Karnataka,2020-21,371046,2347159
Madhya Pradesh,2018-19,942738,7147719
Madhya Pradesh,2019-20,962576,6220812
Madhya Pradesh,2020-21,921147,5859476
Maharashtra,2018-19,761985,7999939
Maharashtra,2019-20,720518,6096443
Maharashtra,2020-21,644484,6523574
Odisha,2018-19,476821,3048997
Odisha,2019-20,537325,3161505
Odisha,2020-21,483069,2135372
Rajasthan,2018-19,9410,28230
Rajasthan,2019-20,9937,29811
Rajasthan,2020-21,6940,20820
Telangana,2018-19,10735,59666
Telangana,2019-20,7770,51196
Telangana,2020-21,11097,69120
