mine_type,historical_avg,planned_tonnes,downtime_hours,rainfall,forecast_tonnes
underground,15359.0,16167.1,181.3,1775.8,11570.8
underground,9221.3,9774.4,175.1,1584.1,5864.6
opencast,6791.2,7026.1,129.2,934.7,5555.5
underground,13206.6,14712.3,112.2,1303.3,12557.3
opencast,7598.0,8075.3,110.0,1435.9,7480.9
opencast,10468.6,11068.3,63.9,1621.7,9883.3
opencast,9767.9,10439.1,53.1,1198.1,8893.2
opencast,11509.1,12502.6,69.6,1697.1,11817.7
underground,14893.4,15648.3,139.7,1397.8,14996.9
underground,7107.1,7712.2,153.4,1465.8,5718.7
opencast,14195.0,14285.5,57.1,1351.9,12016.6
underground,9704.8,10244.0,183.9,1234.4,7878.6
underground,10122.4,10516.5,122.1,882.1,9717.0
opencast,15556.7,16531.9,75.3,1556.0,16531.9
opencast,14099.0,15453.3,132.7,744.7,13191.1
opencast,15561.1,16900.5,37.7,1424.6,15135.0
underground,10284.8,11288.0,139.9,1359.8,8589.1
opencast,6085.7,6392.6,75.6,761.0,5560.9
opencast,13293.2,14614.8,133.0,841.0,11530.4
underground,8688.9,9288.3,103.7,1560.5,8439.8
opencast,6404.1,6813.4,115.6,1772.7,5803.6
opencast,16910.2,17311.0,73.0,1491.2,15834.3
opencast,8019.3,8659.2,116.9,1304.7,6845.7
underground,6098.6,6363.2,88.9,864.4,5877.5
underground,12296.6,13324.7,139.8,848.0,10214.0
opencast,17910.7,18430.0,21.3,1613.7,18430.0
opencast,11503.2,12568.1,123.9,1370.6,11112.7
underground,16928.6,16990.4,174.2,778.5,14202.6
opencast,11017.2,11257.0,82.5,1288.5,9226.0
underground,8310.1,8663.6,133.0,926.9,7652.1
opencast,15937.1,16141.5,64.3,955.9,16141.5
opencast,17071.2,17854.8,98.0,1355.2,15801.2
opencast,6740.0,7342.4,133.6,1363.9,5562.9
opencast,13877.4,14122.1,136.8,1750.9,12036.6
opencast,13123.6,13186.1,138.6,1600.6,9399.4
underground,9691.9,9978.4,163.4,801.1,7499.2
opencast,11547.3,12163.7,32.6,1453.4,11062.7
