state,lat,lng,elevation,ndvi,land_surface_temp,soil_moisture,rainfall,geology_type,prospectivity_score
Karnataka,18.1796,77.428,578.9,0.244,24.5,0.067,1652.8,archean,0.624
Odisha,22.4097,86.4135,269.9,0.259,24.9,0.141,1277.2,gondite_archean,0.705
Karnataka,13.893,76.9474,211.6,0.325,27.9,0.187,1563.7,archean,0.544
Madhya Pradesh,21.1626,78.8604,236.4,0.189,37.2,0.34,1589.2,gondite_archean,0.566
Karnataka,12.6349,77.2369,452.1,0.223,29.9,0.06,1700.3,archean,0.568
Karnataka,15.3804,76.6868,247.9,0.732,34.4,0.332,1684.3,archean,0.553
Madhya Pradesh,24.2266,74.7079,256.8,0.177,27.2,0.167,998.5,gondite_archean,0.598
Odisha,21.1281,83.9932,741.8,0.195,37.8,0.282,918.6,gondite_archean,0.717
Odisha,21.9464,85.974,683.2,0.613,23.2,0.158,827.5,gondite_archean,0.734
Karnataka,12.4131,75.7439,360.1,0.588,32.2,0.316,1219.4,archean,0.664
Odisha,21.6397,86.1627,549.0,0.613,29.9,0.207,1170.3,gondite_archean,0.732
Karnataka,15.3057,78.1303,299.4,0.396,34.1,0.119,784.7,archean,0.504
Odisha,19.9837,86.7539,746.5,0.53,35.9,0.291,905.2,gondite_archean,0.717
Andhra Pradesh,18.8441,83.136,188.0,0.287,28.8,0.295,1646.8,kodurite_archean,0.441
Odisha,21.0322,84.9609,277.7,0.222,27.4,0.333,1055.5,gondite_archean,0.789
Karnataka,18.3166,78.3498,301.4,0.448,26.8,0.135,740.6,archean,0.549
Madhya Pradesh,22.7594,74.4118,322.9,0.695,25.8,0.093,1238.4,gondite_archean,0.813
Odisha,21.6846,84.7872,605.8,0.53,30.6,0.077,1618.8,gondite_archean,0.761
Karnataka,13.2124,74.6631,572.7,0.557,22.3,0.204,949.1,archean,0.496
Maharashtra,19.9668,80.3735,210.0,0.355,23.8,0.327,1665.1,gondite_archean,0.733
Odisha,21.48,86.3603,544.2,0.468,25.9,0.078,1686.9,gondite_archean,0.716
Karnataka,14.2699,77.4038,817.7,0.682,34.5,0.243,792.6,archean,0.65
Odisha,22.1957,85.6225,107.4,0.211,32.6,0.052,876.9,gondite_archean,0.752
Madhya Pradesh,21.7849,79.6974,289.8,0.345,33.9,0.245,1634.1,gondite_archean,0.722
Madhya Pradesh,22.9891,74.7494,394.2,0.309,25.9,0.342,1132.4,gondite_archean,0.697
Maharashtra,20.2566,79.6538,494.0,0.267,33.6,0.134,726.7,gondite_archean,0.695
Madhya Pradesh,21.6199,81.5237,863.1,0.699,27.9,0.055,1721.2,gondite_archean,0.776
Jharkhand,23.706,85.5889,408.1,0.661,27.1,0.101,1312.5,archean,0.586
Goa,15.5568,74.085,177.7,0.519,37.8,0.092,1270.2,laterite,0.311
Maharashtra,20.7562,79.219,334.9,0.636,35.0,0.31,1704.6,gondite_archean,0.795
Karnataka,15.2599,77.6932,620.0,0.571,34.7,0.317,1071.8,archean,0.534
Madhya Pradesh,21.1258,77.7248,534.1,0.322,31.5,0.059,741.1,gondite_archean,0.624
Andhra Pradesh,18.0403,82.7541,517.8,0.612,25.5,0.237,793.9,kodurite_archean,0.412
Madhya Pradesh,23.231,79.8087,880.7,0.46,27.2,0.289,997.9,gondite_archean,0.653
Karnataka,12.51,74.6014,870.1,0.652,33.1,0.173,890.6,archean,0.552
Madhya Pradesh,23.5011,79.2816,323.9,0.723,33.8,0.216,1372.9,gondite_archean,0.709
Karnataka,13.6103,75.9239,706.3,0.159,23.9,0.064,744.8,archean,0.502
Karnataka,12.6359,76.4665,478.8,0.254,28.9,0.17,1377.4,archean,0.573
Madhya Pradesh,21.1586,76.9969,600.7,0.452,35.7,0.248,879.2,gondite_archean,0.703
Odisha,21.2573,86.7908,560.4,0.383,32.3,0.187,1300.2,gondite_archean,0.639
Goa,15.3089,74.2806,824.3,0.267,23.1,0.08,720.0,laterite,0.239
Odisha,20.4569,86.4571,118.6,0.639,26.5,0.085,1466.4,gondite_archean,0.683
Madhya Pradesh,24.0712,79.8806,742.8,0.319,24.8,0.275,1587.5,gondite_archean,0.684
Karnataka,17.0467,75.8632,844.6,0.665,28.9,0.275,1530.0,archean,0.624
Odisha,22.2077,85.2684,761.2,0.342,36.3,0.167,711.9,gondite_archean,0.678
Jharkhand,23.1469,86.2637,458.8,0.326,27.3,0.252,1527.6,archean,0.536
Maharashtra,20.974,78.6824,495.5,0.185,30.8,0.182,1676.5,gondite_archean,0.594
Odisha,21.7845,85.6638,180.9,0.2,33.2,0.072,1604.0,gondite_archean,0.619
Maharashtra,19.2034,78.6697,889.3,0.375,27.9,0.294,1742.0,gondite_archean,0.652
Maharashtra,20.396,79.3484,825.1,0.217,29.9,0.053,1215.5,gondite_archean,0.618
Odisha,19.8565,83.9113,619.4,0.598,31.3,0.339,1112.4,gondite_archean,0.783
Odisha,22.3897,83.5425,875.9,0.176,36.3,0.208,1792.3,gondite_archean,0.628
Odisha,21.1616,86.8926,518.5,0.528,33.1,0.186,1390.3,gondite_archean,0.774
Odisha,20.3429,86.8264,812.2,0.423,31.9,0.133,906.9,gondite_archean,0.686
Karnataka,14.2968,76.8346,162.2,0.735,37.8,0.259,1289.7,archean,0.688
