state,lat,lng,elevation,slope_deg,drainage_density,ndvi,ndwi,land_surface_temp,mineral_alteration_index,mn_ppm_soil,magnetic_anomaly_nt,distance_to_fault_km,distance_to_known_mine_km,geology_type,prospectivity_score
Karnataka,18.1796,77.428,578.9,6.3,0.64,0.185,0.22,31.6,0.45,555.0,14.5,5.95,373.32,archean,0.29
Karnataka,13.893,76.9474,211.6,10.9,1.23,0.424,0.171,25.2,0.827,738.8,31.9,1.5,838.26,archean,0.425
Odisha,22.3467,86.8797,746.7,11.4,0.47,0.561,-0.036,24.0,0.496,778.9,32.7,8.69,692.98,gondite_archean,0.519
Karnataka,15.3804,76.6868,247.9,34.0,2.37,0.714,0.237,31.6,0.399,343.3,48.1,3.53,689.85,archean,0.375
Odisha,21.1281,83.9932,741.8,3.5,2.96,0.613,-0.181,22.1,0.63,957.5,60.8,0.62,401.6,gondite_archean,0.618
Karnataka,12.7531,77.9524,598.6,12.3,0.38,0.337,-0.105,33.7,0.62,719.3,2.9,9.99,941.48,archean,0.376
Maharashtra,20.4032,80.0419,495.0,18.8,1.4,0.165,-0.235,22.5,0.39,988.5,61.0,2.29,94.5,gondite_archean,0.526
Karnataka,16.9111,75.4152,161.6,10.9,0.65,0.708,0.185,32.1,0.551,722.9,63.1,18.11,609.33,archean,0.47
Karnataka,12.7153,75.4117,441.7,28.8,2.61,0.154,0.006,28.7,0.473,602.2,40.1,3.12,1016.06,archean,0.369
Karnataka,16.5696,75.9545,877.4,33.7,0.9,0.448,-0.119,26.6,0.532,573.5,12.3,2.61,606.77,archean,0.385
Goa,15.1916,73.8724,491.6,34.5,0.88,0.553,0.157,25.8,0.344,696.8,44.7,6.14,861.64,laterite,0.357
Odisha,22.0059,84.6227,249.2,2.4,1.85,0.557,-0.29,30.2,0.638,535.4,51.8,3.91,458.91,gondite_archean,0.458
Goa,15.11,73.9705,190.8,32.4,2.66,0.305,0.096,35.1,0.604,927.8,1.5,18.2,862.19,laterite,0.232
Goa,15.5065,73.9695,379.4,25.7,2.71,0.682,0.168,32.3,0.467,589.5,14.0,9.42,828.0,laterite,0.182
Madhya Pradesh,21.7849,79.6974,289.8,12.1,2.29,0.54,0.21,32.5,0.456,809.2,4.2,2.24,49.85,gondite_archean,0.468
Jharkhand,22.7862,86.7841,604.9,28.0,1.61,0.496,-0.004,25.1,0.404,855.4,29.8,1.56,688.18,archean,0.413
Goa,15.7631,74.2574,396.1,1.5,2.8,0.407,0.28,37.4,0.386,575.4,35.7,3.05,786.34,laterite,0.226
Odisha,21.1704,86.7765,656.8,20.4,0.47,0.519,0.294,24.2,0.687,790.3,60.2,9.7,686.06,gondite_archean,0.605
Karnataka,13.9083,77.7374,748.1,30.5,2.76,0.457,0.001,34.8,0.68,857.6,34.6,3.3,817.88,archean,0.464
Karnataka,12.6109,76.8131,128.8,16.8,1.72,0.322,0.054,22.5,0.413,593.0,67.8,1.94,979.86,archean,0.424
Madhya Pradesh,21.2987,74.4135,525.1,19.4,1.98,0.586,0.286,30.3,0.686,654.3,27.3,0.65,485.0,gondite_archean,0.413
Odisha,22.3879,86.4259,656.8,14.9,0.69,0.244,-0.15,30.8,0.673,1033.3,47.8,7.57,646.78,gondite_archean,0.626
Karnataka,13.6103,75.9239,706.3,1.5,0.53,0.178,-0.276,35.7,0.492,1034.4,28.3,5.13,903.08,archean,0.356
Odisha,20.8016,84.8948,592.7,22.6,0.33,0.375,0.076,30.1,0.609,961.9,33.3,7.05,500.88,gondite_archean,0.515
Goa,15.4604,73.9941,614.6,16.6,1.73,0.715,-0.068,37.4,0.382,461.5,31.7,0.19,830.26,laterite,0.237
Andhra Pradesh,17.9228,82.7363,657.4,22.4,2.66,0.591,0.182,26.5,0.536,368.0,-27.9,11.98,484.69,kodurite_archean,0.195
Karnataka,18.0499,77.9337,443.2,26.5,2.31,0.212,0.242,30.1,0.457,849.8,22.8,0.09,365.37,archean,0.446
Goa,15.073,73.9597,860.0,33.3,1.81,0.529,-0.031,26.7,0.585,180.7,28.9,12.47,866.15,laterite,0.264
Odisha,20.9833,83.7015,539.6,16.0,2.69,0.361,-0.23,24.3,0.634,1051.6,27.6,13.8,375.72,gondite_archean,0.521
Maharashtra,19.2034,78.6697,889.3,13.7,1.24,0.638,0.268,37.8,0.48,1052.0,-12.5,18.95,220.86,gondite_archean,0.582
Odisha,20.9779,83.5397,474.9,2.9,0.53,0.221,0.09,33.9,0.619,797.8,2.3,16.24,359.66,gondite_archean,0.388
Odisha,22.3897,83.5425,875.9,2.5,2.7,0.467,0.296,23.2,0.617,790.9,95.3,9.52,352.58,gondite_archean,0.589
Karnataka,16.0791,76.8373,820.9,2.5,0.99,0.72,0.234,29.3,0.346,816.8,24.9,3.49,611.75,archean,0.344
Madhya Pradesh,21.2721,81.7952,889.0,24.7,1.7,0.336,0.188,33.0,0.649,1075.3,55.9,16.08,177.07,gondite_archean,0.536
Odisha,19.5791,84.8176,748.4,34.6,0.62,0.506,-0.071,37.5,0.593,835.7,-22.9,2.56,541.9,gondite_archean,0.428
Odisha,22.0942,86.3452,899.8,34.9,1.76,0.611,0.267,35.6,0.522,460.2,4.2,8.91,636.65,gondite_archean,0.475
Madhya Pradesh,22.2536,74.9085,637.3,18.7,2.36,0.462,0.211,30.8,0.683,813.2,12.9,0.23,449.08,gondite_archean,0.486
Maharashtra,20.5508,79.9082,270.4,5.6,0.24,0.36,0.054,28.3,0.666,752.6,43.4,12.25,73.9,gondite_archean,0.401
Karnataka,16.0436,77.9495,859.6,6.0,2.79,0.445,-0.145,29.3,0.519,740.6,56.9,2.2,580.38,archean,0.359
Odisha,19.8866,83.9482,221.5,5.7,1.99,0.259,-0.093,36.3,0.807,716.1,27.2,0.33,445.61,gondite_archean,0.473
Odisha,20.3358,84.1195,171.0,5.1,1.49,0.274,-0.081,30.1,0.548,788.4,51.3,0.68,439.98,gondite_archean,0.575
Andhra Pradesh,18.8813,82.6222,321.5,28.4,2.3,0.261,-0.174,27.9,0.755,447.9,1.1,11.01,401.45,kodurite_archean,0.14
Odisha,20.2573,85.9967,816.2,18.4,1.69,0.214,-0.032,30.5,0.463,599.1,33.7,3.11,627.55,gondite_archean,0.444
Odisha,20.4825,83.9192,812.4,21.2,2.1,0.624,-0.001,23.4,0.845,982.9,27.4,1.09,414.52,gondite_archean,0.663
Odisha,20.5892,85.7607,556.6,13.1,2.96,0.513,-0.158,23.6,0.505,654.8,28.9,2.68,593.98,gondite_archean,0.458
Odisha,22.1903,83.7808,519.6,15.0,2.95,0.217,-0.061,37.5,0.588,834.7,20.3,8.84,373.77,gondite_archean,0.434
Goa,15.4454,74.0858,324.0,27.2,0.72,0.344,-0.045,30.1,0.385,358.7,-28.5,6.96,825.32,laterite,0.226
Odisha,20.9434,85.3641,141.5,12.4,0.58,0.188,0.294,27.2,0.488,932.1,66.1,7.24,545.16,gondite_archean,0.554
Karnataka,14.677,75.8955,843.6,29.2,2.9,0.225,0.139,37.0,0.579,976.0,25.8,12.69,795.08,archean,0.416
